VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.3,90,0.965,1699.843323,0,0,90,29,2021-10-22 08:00:00,8,22,10,4,4,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1559.7636053208334,530.0928537079873,2350.489941,964.4058897,1397.648954,2085.777152,3174.225592,302.19436900000005,-385.93382900000006,1468.9196,1699.8433230000003
11.4,84,0.965,1600.560438,0,0,82,37,2021-10-22 09:00:00,9,22,10,4,4,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1539.5739550708333,518.3105684643887,2350.489941,964.4058897,1699.843323,2085.112044,3201.827554,-99.28288500000008,-484.551606,1669.8384,1600.560438
11.4,88,0.965,1676.777602,0,0,82,37,2021-10-22 10:00:00,10,22,10,4,4,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1518.6109441541666,501.1780935497383,2350.489941,964.4058897,1600.560438,2179.889864,3209.975121,76.21716399999991,-503.1122620000003,1597.2721,1676.777602
11.4,87,0.965,1657.723311,0,0,82,37,2021-10-22 11:00:00,11,22,10,4,4,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1496.8540044458332,482.1974053638338,2350.489941,964.4058897,1676.777602,2179.889864,2918.159201,-19.05429099999992,-522.1665530000002,1598.0696,1657.723311
11.4,90,0.965,1714.886184,0,0,73,72,2021-10-22 12:00:00,12,22,10,4,4,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1477.4788511125,462.4988975918608,2350.489941,964.4058897,1657.723311,2179.889864,2879.250411,57.16287299999999,-465.00368000000026,1602.866,1714.886184
11.4,86,0.965,1638.66902,0,0,73,72,2021-10-22 13:00:00,13,22,10,4,4,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1454.9279826125003,439.3778375866132,2350.489941,964.4058897,1714.886184,2179.889864,2923.480061,-76.21716399999991,-541.2208440000002,1601.9706,1638.6690200000003
11.4,85,0.965,1619.614729,0,0,73,72,2021-10-22 14:00:00,14,22,10,4,4,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1426.8442942791664,403.5171277598493,2350.489941,964.4058897,1638.66902,2293.623249,3217.790134,-19.05429100000015,-674.0085200000003,1491.7921,1619.614729
11.3,91,0.965,1718.730471,0,0,72,87,2021-10-22 15:00:00,15,22,10,4,4,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1400.5209830291667,358.76878368569913,2179.889864,964.4058897,1619.614729,2350.489941,3158.928119,99.11574200000018,-631.7594699999997,1417.3176,1718.7304709999999
11.4,85,0.965,1619.614729,0,0,72,87,2021-10-22 16:00:00,16,22,10,4,4,0,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1377.1761857374997,322.2173605308622,2179.889864,964.4058897,1718.730471,2179.889864,2584.607784,-99.11574200000018,-560.2751350000003,1371.7928,1619.614729
11.4,79,0.965,1505.288984,0,0,72,87,2021-10-22 17:00:00,17,22,10,4,4,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1349.0678157374998,275.1327220834019,1718.730471,964.4058897,1619.614729,2179.889864,2394.22076,-114.32574499999987,-674.6008800000002,1232.6959,1505.288984
